event,week,queries,main_topic
Олимпиада 2024,12.02.2018,29488726,S
Олимпиада 2025,19.02.2018,43650912,S
Олимпиада 2026,26.02.2018,4405720,S
Олимпиада 2027,05.03.2018,951934,S
Олимпиада 2028,12.03.2018,970588,S
Олимпиада 2029,19.03.2018,735607,S
Олимпиада 2030,26.03.2018,603313,S
Олимпиада 2031,02.04.2018,546791,S
Олимпиада 2032,09.04.2018,488647,S
Олимпиада 2033,16.04.2018,429163,S
Олимпиада 2034,23.04.2018,414233,S
Олимпиада 2035,30.04.2018,308801,S
Олимпиада 2036,07.05.2018,332879,S
Олимпиада 2037,14.05.2018,371904,S
Олимпиада 2038,21.05.2018,264016,S
Олимпиада 2039,28.05.2018,220892,S
Олимпиада 2040,04.06.2018,205804,S
Олимпиада 2041,11.06.2018,223596,S
Олимпиада 2042,18.06.2018,203964,S
Олимпиада 2043,25.06.2018,217387,S
Запсук ракеты Falcon Heavy,01.01.2018,1582,T
Запсук ракеты Falcon Heavy,08.01.2018,1937,T
Запсук ракеты Falcon Heavy,15.01.2018,2305,T
Запсук ракеты Falcon Heavy,22.01.2018,2520,T
Запсук ракеты Falcon Heavy,29.01.2018,1868,T
Запсук ракеты Falcon Heavy,05.02.2018,112970,T
Запсук ракеты Falcon Heavy,12.02.2018,13559,T
Запсук ракеты Falcon Heavy,19.02.2018,4338,T
Запсук ракеты Falcon Heavy,26.02.2018,2502,T
Запсук ракеты Falcon Heavy,05.03.2018,2252,T
Запсук ракеты Falcon Heavy,12.03.2018,1858,T
Запсук ракеты Falcon Heavy,19.03.2018,1264,T
Запсук ракеты Falcon Heavy,26.03.2018,1147,T
Запсук ракеты Falcon Heavy,02.04.2018,984,T
Запсук ракеты Falcon Heavy,09.04.2018,1087,T
Запсук ракеты Falcon Heavy,16.04.2018,833,T
Запсук ракеты Falcon Heavy,23.04.2018,611,T
Запсук ракеты Falcon Heavy,30.04.2018,465,T
Запсук ракеты Falcon Heavy,07.05.2018,577,T
Запсук ракеты Falcon Heavy,14.05.2018,672,T
Запсук ракеты Falcon Heavy,21.05.2018,567,T
Запсук ракеты Falcon Heavy,28.05.2018,458,T
Запсук ракеты Falcon Heavy,04.06.2018,368,T
Запсук ракеты Falcon Heavy,11.06.2018,329,T
Запсук ракеты Falcon Heavy,18.06.2018,444,T
Запсук ракеты Falcon Heavy,25.06.2018,372,T
Теракт в Кизляре,01.01.2018,31,DIS
Теракт в Кизляре,08.01.2018,18,DIS
Теракт в Кизляре,15.01.2018,29,DIS
Теракт в Кизляре,22.01.2018,34,DIS
Теракт в Кизляре,29.01.2018,19,DIS
Теракт в Кизляре,05.02.2018,36,DIS
Теракт в Кизляре,12.02.2018,1015,DIS
Теракт в Кизляре,19.02.2018,2200,DIS
Теракт в Кизляре,26.02.2018,117,DIS
Теракт в Кизляре,05.03.2018,94,DIS
Теракт в Кизляре,12.03.2018,75,DIS
Теракт в Кизляре,19.03.2018,27,DIS
Теракт в Кизляре,26.03.2018,39,DIS
Теракт в Кизляре,02.04.2018,50,DIS
Теракт в Кизляре,09.04.2018,64,DIS
Теракт в Кизляре,16.04.2018,110,DIS
Теракт в Кизляре,23.04.2018,80,DIS
Теракт в Кизляре,30.04.2018,33,DIS
Теракт в Кизляре,07.05.2018,27,DIS
Теракт в Кизляре,14.05.2018,33,DIS
Теракт в Кизляре,21.05.2018,18,DIS
Теракт в Кизляре,28.05.2018,22,DIS
Теракт в Кизляре,04.06.2018,24,DIS
Теракт в Кизляре,11.06.2018,30,DIS
Теракт в Кизляре,18.06.2018,44,DIS
Теракт в Кизляре,25.06.2018,82,DIS
Бой под Хашамом,01.01.2018,4796,W
Бой под Хашамом,08.01.2018,6777,W
Бой под Хашамом,15.01.2018,5886,W
